ID;text;group
160;'Forwarded from: PUBLIC INFORMATION OFFICE PROPULSION LABORATORY CALIFORNIA INSTITUTE TECHNOLOGY NATIONAL AERONAUTICS SPACE ADMINISTRATION PASADENA, CALIF. 91109. (818) 354-5011 Contact: Mary Hardin IMMEDIATE RELEASE April 1993 #1506 Scientists NASA\'s Propulsion Laboratory report successful flight balloon carrying instruments designed measure study chemicals Earth\'s ozone layer. April flight from California\'s Barstow/Daggett Airport reached altitude kilometers (121,000 feet) took measurements part program established correlate data with Upper Atmosphere Research Satellite (UARS). data from balloon flight will also compared readings from Atmospheric Trace Molecular Spectroscopy (ATMOS) experiment which currently flying onboard shuttle Discovery. launch these balloons several times year part ongoing ozone research program. fact, actively involved study ozone atmosphere three important ways, said Margitan, principal investigator balloon research campaign. There instruments UARS satellite, continued. ATMOS experiment conducted scientists, balloon research provides collaborative ground truth those activities, well data that useful right. measurements taken balloon payload will more pieces complex puzzle atmosphere, specifically mid-latitude stratosphere during winter spring. Understanding chemistry occurring this region helps scientists construct more accurate computer models which instrumental predicting future ozone conditions. scientific balloon payload consisted three instruments: ultraviolet ozone photometer which measures ozone balloon ascends descends through atmosphere- submillimeterwave limb sounder which looks microwave radiation emitted molecules atmosphere- Fourier transform infrared interferometer which monitors atmosphere absorbs sunlight. Launch occurred about noontime, following three- hour ascent, balloon floated eastward approximately kilometers hour knots). Data radioed ground stations recorded onboard. flight ended p.m. Pacific time eastern Mexico when payload commanded separate from balloon. needed through sunset make infrared measurements, Margitan explained, also needed darkness watch quickly some molecules disappear. will several weeks before scientists will have completed results their experiments. They will then forward their data UARS central data facility Goddard Space Flight Center Greenbelt, Maryland UARS scientists. balloon launched National Scientific Balloon Facility, normally based Palestine, Tex., operating under contract from NASA\'s Wallops Flight Facility. balloon launched California because west-to-east wind direction desire keep operation southwest. balloons made 20-micron (0.8 mil, less than one-thousandth inch) thick plastic, 790,000 cubic meters million cubic feet) volume when fully inflated with helium (120 meters (400 feet) diameter). balloons weigh between 1,300 1,800 kilograms (3,000 4,000 pounds). scientific payload weighs about 1,300 kilograms (3,000) pounds meters (six feet) square meters feet) high. balloon research sponsored NASA\'s Upper Atmosphere Research Program UARS Correlative Measurements Program.;2
205;'You should have been following discussion GRBs going sci.astro. It\'s been discussed some detail, with references even.;2
961;have problem with intersections between surfaces. Does anybody have easy understand algorithm that maybe even source??;1
1504;tight? that matter, TIFF6 now, gripe about problems? Also, important you, volunteer help define critique spec. Finally, little numerology: backwards, TIFF image format... Chris';1
953;'\tPersonally, think Mrs. O\'Leary\'s that knocked over that lantern... :*)';3
690;'Idea repair satellites: Warning getting creative again: build inflatable space dock. Basically deploy side space dock (using scissor shaped structure, beyond 2000), then maneuer side next satellite then move rest dock around satellite seal it.. inflate dock with does have oxygen, just neeeds non-flameble, non-damaging satellite abel maintain heat), thenheat space dock (for astronaut will working onthe satellite able have wear normal bulky space suit, much striped down own).. know this might take slot work not??? just plain wierd, ideas need thought where tomorrow, imagination present..';2
186;Nope, haven\'t seen film, Taylor\'s biography (The Curve Binding Energy) contains short section Orion this test flight. Apparently quite impressi, Braun very excited. Real Life:Mike Williams Perpetual Grad Student e-mail :mrw9e@virginia.edu| It\'s just job, it\'s indenture';2
925;'Does anyone this group this program? stacks pretty well Corel Draw, since don\'t have CDROM, best buy...';1
820;misrepresent Selim. hard evidence statements about lack objectivity presented quite clearly book Orientalism Edward Said. Edward Said, way, Christian, Muslim. Regarding Bernard Lewis: being Zionist gives political motive giving misrepresentations half-truths about Islam. Read Orientalism Edward Said evidence yourself. fact, post some here isn\'t long). haven\'t read Lewis\'s article, can\'t comment directly upon have only spoken about writings general_ far, that political motives make biased writer Islam. anti-Islamic polemics, understand often quite subtle often based telling half-truths. Again, read Orientalism Edward Said. _not_ asking take what trust, fact urging this book well-known book) check evidence _yourself_. slavery reality_ opposed practice some Muslims) opposed Islam, then using slaves sexual purposes necessarily opposed too. understand your point view, Selim think, rather, _us_ getting through _you_. Some points repeat above have already answered before. Regarding women, have made posting after posting this subject, showing that Islam anti-woman, etc. However, have been completely ignoring postings just missing them? just reposted very good one, under title Islam Women, reposted from soc.religion.islam. this already disappeared from your site, then please email telling will email copy this excellent article. IMHO, your understanding issue women Islam sadly deficient. Regarding slaves, _my_ posting slavery second made, which repost article wrote early last year based completely Qur\'an contains numerous Qur\'anic verses hadiths support point view. approaches different arguing from historical standpoint arguing directly from teachings Qur\'an hadiths. Now, just because people they Muslims perform particular action, does that automatically mean that their action part Islam, even opposed Qur\'an Sunnah? course not. give concrete example, which might help clarify this you. Qur\'an prohibits drinking. Now, person says Muslim then proceeds drink bottle beer, does this mean that Islam teaches that people should drink beer? course not, only idiot would think point? judging Islam here capitalist terms. Capitalism ideology based largely assumption that people want maximise their wealth this assumption opposition Islamic teachings. Islam because capitalist pretty unthinking Islam does pretend capitalist does capitalist. (This does mean that Islam does support free-market does general there other parts capitalism which opposed Islam understand it.) postulate numerous reasons this. Your theory that because Islam secularist capitalist, etc. etc. Selim, will give clear historical example show fallacy your views think obviously that Islam lack education power. large part history, Islamic world very powerful. significant section history, Islamic world foremost sciences. that Islam example, anti-education completely absurd. blame this situation Islam history shows that your conclusion false that, instead, there must other reasons this situation. Well, Selim, your viewpoint women Islam makes question extent your knowledge Islam. really think knowledgeable enough able judge whether Muslims following Qur\'an not. Islamic world forefront world science stage somehow, your theory, following Qur\'an that Muslims backwards education. Selim, _your_ thesis that anti-historical, conveniently overlook this historical fact which contradicts your theory. have certainly shown this- have merely stated far, seems that your view Islam being anti-education quite contrary history. That convinced your views makes wonder just objectively trying look this. think, Selim, should consider taking your advice. Here too. Selim, have such conviction your viewpoint, demonstrate ignorance, only Islam also Islamic history (particularly with respect Muslims being leaders science till about 1400 think). that your viewpoint based history! Selim, remember right, your earlier posts that apostate from Islam. think should slow down start thinking clearly about issues, start _reading_ some postings about Islam rather than ignoring them obviously have.';0
437;'Choose following answer above:;2
616;looking copy following Siggraph publication: Gomez, J.E. Comments Event Driven Annimation, Siggraph Course Notes, 1987. anyone knows location where obtain copy these notes, would appreciate they could know. Thanks.';1
388;'[reply tgk@cs.toronto.edu (Todd Kelley)] Agreed. hard understand, quite professional scientists philosophers theists. also intolerance superstition. I\'m sure that balance detrimental. Sure would!';0
1462;should ammunition? guns? worse than others? National Anthem? Should changed too? Bless America? list goes on... Then you\'d better than people despise. endorsement, acknowledgement? think gods things that people proud don\'t think motto encourages belief. [...] Would approve such motto? removing tool will solve problem? will increase problem?';0
242;thank Lord that Bill Connor returned straight! know happy when Lexus SE400 wipes that rain-slick curve 1997. rest best straighten because your time even more limited. Most going 1994. Maddi, know you\'re glad have visit won\'t stay long this time, just shopping around.';0
1865;LIST KILLINGS NAME RELIGION Iran-Iraq War: 1,000,000 Civil Sudan: 1,000,000 Riots India-Pakistan 1947: 1,000,000 Massacares Bangladesh 1971: 1,000,000 Inquistions America 1500s: million (x=??) Crusades: sure that people more list. wonder what Bobby about above. Standard Excuses will accepted. Naren';0
